time,reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,distance_to_target,total_velocity,angular_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.0,0.3809590041388131,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.166247903554,0.0,0.0,900.0,900.0,1.0,1.0
0.02,0.38111556970937177,0.0,0.0,20.00290815215031,0.0,0.0,0.0,0.0,0.0,0.29081521503131535,0.0,0.0,0.0,33.1636174041423,0.29081521503131535,0.0,900.0,900.0,1.0,1.0
0.04,0.38137641045839193,0.0,0.0,20.01163169006192,0.0,0.0,0.0,0.0,0.0,0.5815385761296095,0.0,0.0,0.0,33.15572701498941,0.5815385761296095,0.0,900.0,900.0,1.0,1.0
0.06,0.38174135387204944,0.0,0.0,20.0261671244509,0.0,0.0,0.0,0.0,0.0,0.8720048627680965,0.0,0.0,0.0,33.14258072708503,0.8720048627680965,0.0,900.0,900.0,1.0,1.0
0.08,0.38221014810789866,0.0,0.0,20.04650766605773,0.0,0.0,0.0,0.0,0.0,1.1620492979148593,0.0,0.0,0.0,33.12418607301225,1.1620492979148593,0.0,900.0,900.0,1.0,1.0
0.1,0.382782462303757,0.0,0.0,20.072643238256838,0.0,0.0,0.0,0.0,0.0,1.4515079219958538,0.0,0.0,0.0,33.10055411537176,1.4515079219958538,0.0,900.0,900.0,1.0,1.0
0.12000000000000001,0.38345788700822697,0.0,0.0,20.104560497111127,0.0,0.0,0.0,0.0,0.0,1.7402179634331314,0.0,0.0,0.0,33.071699428225465,1.7402179634331314,0.0,900.0,900.0,1.0,1.0
0.14,0.3842359347301005,0.0,0.0,20.142242858785256,0.0,0.0,0.0,0.0,0.0,2.0280182039798325,0.0,0.0,0.0,33.03764007164798,2.0280182039798325,0.0,900.0,900.0,1.0,1.0
0.16,0.38511604060312943,0.0,0.0,20.185670534196184,0.0,0.0,0.0,0.0,0.0,2.3147493371130827,0.0,0.0,0.0,32.99839755951034,2.3147493371130827,0.0,900.0,900.0,1.0,1.0
0.18,0.3860975631619173,0.0,0.0,20.23482057074531,0.0,0.0,0.0,0.0,0.0,2.60025431779968,0.0,0.0,0.0,32.9539968206548,2.60025431779968,0.0,900.0,900.0,1.0,1.0
0.19999999999999998,0.38717978522398033,0.0,0.0,20.289666900943473,0.0,0.0,0.0,0.0,0.0,2.8843787020167464,0.0,0.0,0.0,32.90446615365297,2.8843787020167464,0.0,900.0,900.0,1.0,1.0
0.21999999999999997,0.3883619148723529,0.0,0.0,20.350180397708538,0.0,0.0,0.0,0.0,0.0,3.1669709744895407,0.0,0.0,0.0,32.84983717537162,3.1669709744895407,0.0,900.0,900.0,1.0,1.0
0.23999999999999996,0.3896430865324817,0.0,0.0,20.416328936085435,0.0,0.0,0.0,0.0,0.0,3.4478828632004292,0.0,0.0,0.0,32.790144763600786,3.4478828632004292,0.0,900.0,900.0,1.0,1.0
0.25999999999999995,0.3910223621365544,0.0,0.0,20.488077461110695,0.0,0.0,0.0,0.0,0.0,3.726969639325488,0.0,0.0,0.0,32.725426994027174,3.726969639325488,0.0,900.0,900.0,1.0,1.0
0.27999999999999997,0.39249873236786065,0.0,0.0,20.56538806151762,0.0,0.0,0.0,0.0,0.0,4.0040904013671526,0.0,0.0,0.0,32.6557250718622,4.0040904013671526,0.0,900.0,900.0,1.0,1.0
0.3,0.394071117977282,0.0,0.0,20.648220048955007,0.0,0.0,0.0,0.0,0.0,4.279108342371464,0.0,0.0,0.0,32.581083258457916,4.279108342371464,0.0,900.0,900.0,1.0,1.0
0.32,0.3957383711635517,0.0,0.0,20.736530042371175,0.0,0.0,0.0,0.0,0.0,4.55189099924534,0.0,0.0,0.0,32.50154879326591,4.55189099924534,0.0,900.0,900.0,1.0,1.0
0.34,0.39749927700852383,0.0,0.0,20.830272057196847,0.0,0.0,0.0,0.0,0.0,4.8223104833215595,0.0,0.0,0.0,32.417171811512965,4.8223104833215595,0.0,900.0,900.0,1.0,1.0
0.36000000000000004,0.39935255495833977,0.0,0.0,20.929397598944618,0.0,0.0,0.0,0.0,0.0,5.090243691455282,0.0,0.0,0.0,32.32800525798409,5.090243691455282,0.0,900.0,900.0,1.0,1.0
0.38000000000000006,0.4012968603410818,0.0,0.0,21.033855760829915,0.0,0.0,0.0,0.0,0.0,5.35557249707445,0.0,0.0,0.0,32.23410479731687,5.35557249707445,0.0,900.0,900.0,1.0,1.0
0.4000000000000001,0.4033307859112593,0.0,0.0,21.14359332500812,0.0,0.0,0.0,0.0,0.0,5.618183920745912,0.0,0.0,0.0,32.1355287212225,5.618183920745912,0.0,900.0,900.0,1.0,1.0
0.4200000000000001,0.4054528634112733,0.0,0.0,21.25855486701516,0.0,0.0,0.0,0.0,0.0,5.87797027995815,0.0,0.0,0.0,32.03233785305684,5.87797027995815,0.0,900.0,900.0,1.0,1.0
0.4400000000000001,0.4076615651398673,0.0,0.0,21.378682862994328,0.0,0.0,0.0,0.0,0.0,6.134829317958611,0.0,0.0,0.0,31.924595450170617,6.134829317958611,0.0,900.0,900.0,1.0,1.0
0.46000000000000013,0.4099553055174719,0.0,0.0,21.50391779929009,0.0,0.0,0.0,0.0,0.0,6.388664311617711,0.0,0.0,0.0,31.812367104470805,6.388664311617711,0.0,900.0,900.0,1.0,1.0
