time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.1645570670758198e-07,1.5313492761183266e-06,10.006040812550244,0.0007477550468992789,6.28312844083478,0.0,8.318197660227352e-06,0.00010938099393393147,0.2013457281995626,0.024925408035042035,-0.0018956207844384905,0.0,468.18433495404884,468.0368654020508,466.8244197268787,468.7649087396256
0.12000000000000001,1.8301738278904388e-06,3.20697076442585e-05,10.02281614442108,0.002797871552020048,0.00010237742296226315,0.0,4.127171406291395e-05,0.0011143977460728305,0.3577950334395188,0.04341030193564527,0.007204062975419764,0.0,454.03373877302033,454.7630668155609,453.8984817204455,455.3796181487288
0.18,4.483678307168766e-07,0.0001810528046021084,10.051327756489211,0.005915025685379938,0.00023113172106814517,0.0,-0.00011535903480736004,0.004210721331304009,0.5924982084129518,0.06049225257254626,-0.0029125356929264345,0.0,477.0754980595067,476.30248400063596,478.46203195528335,479.7618861264754
0.23999999999999996,-1.2237491668891256e-05,0.0005797708206529612,10.091214285329356,0.010172509770650429,0.0007890023528211998,0.0,-0.00034153991971559326,0.009518927052037683,0.7369670213278601,0.08141915754779536,0.021508676703107736,0.0,449.0166818711155,450.99317709824635,451.50570763689007,453.19402105114
0.3,-5.107289602339887e-05,0.0013557534310533253,10.13627573108871,0.014992928895413371,0.001656013216373431,0.0,-0.001045067440002873,0.01678930689912591,0.7650571955898899,0.07926208555419789,0.007392076103940476,0.0,413.4700380806893,412.2246145946573,415.32029287955305,415.13684113472317
0.36000000000000004,-0.00015253145901926533,0.0027189289176533147,10.186947073798613,0.01965279970830558,0.001981113667453016,0.0,-0.002377053303707085,0.029167456730578058,0.9238634925453444,0.07606779852181635,0.003444535608716422,0.0,456.3664161650048,456.0511596664955,455.5669961284163,455.31626291876313
0.4200000000000001,-0.00033476055315570367,0.00488280000640542,10.244957863955989,0.02362121654799587,0.00146220787666973,0.0,-0.003669424370580209,0.04337638097472351,1.0097481920256801,0.05621742798599414,-0.020741857803304953,0.0,434.7678654416939,432.7369747784463,433.73000717420274,432.0637127590509
0.48000000000000015,-0.0005793744845199552,0.007959213301581612,10.307377747113136,0.027667243587528922,0.000472917462724709,0.0,-0.004380872221094744,0.059537095012266304,1.0708495267761122,0.07864536898868922,-0.012234753979415224,0.0,425.78276215862064,426.50990501197464,423.86998182999537,425.7960189094793
0.5400000000000001,-0.0008523662614267347,0.012298664917548557,10.380892159839537,0.03183060355951106,0.0001949642688590103,0.0,-0.004661580445555599,0.08567967412199373,1.379293281937418,0.060137784689287675,0.0029698971791267135,0.0,499.5457392098008,500.6531997002086,500.42903411782413,499.08364701000806
0.6000000000000002,-0.001137699403259583,0.018162969057911652,10.468278079490712,0.034960113981650665,0.0006612365470006765,0.0,-0.004890219514952197,0.11015231018402893,1.5333634922107517,0.04418202888249284,0.012572678974373312,0.0,455.4025074116244,456.1697987431728,456.3062670128475,455.032820001119
0.6600000000000003,-0.0014461220034852303,0.025480176788476604,10.56258888510886,0.037651162389270354,0.0008405068254964121,0.0,-0.005427045433926786,0.13401435007027954,1.6102137712331017,0.04551940202211332,-0.006597306047432745,0.0,433.3866210795826,431.7724128856655,431.31655736172144,431.43068744905247
0.7200000000000003,-0.001793049777454568,0.03446433872012319,10.666273340206736,0.040141345404324014,0.0015288594525966204,0.0,-0.006176818028421672,0.16575735671640562,1.8455706960944083,0.03748771329903266,0.029542929971670552,0.0,479.85132396791914,482.5867635985027,480.2290587130438,479.6203644756698
0.7800000000000004,-0.0021956827877241563,0.045128698972409634,10.77708768477744,0.042047572218047335,0.0026854273755967384,0.0,-0.007363660293245876,0.18989725276625927,1.848227121199961,0.02605426311878504,0.009010384441351283,0.0,409.54975488141616,407.7196533891671,408.85520556284706,407.8359106842484
0.8400000000000004,-0.0027000082918180453,0.057461523077064376,10.89248574645076,0.04396899377394092,0.0036004287942299484,0.0,-0.009532975170155293,0.22138221521169107,1.9981134609134075,0.037992201684387744,0.02148953414551813,0.0,455.24637130667014,456.2436282824627,455.69182454570307,456.64532325502887
0.9000000000000005,-0.0033447684985334278,0.07157814306785613,11.013480121268472,0.04679080595261542,0.005300275392199794,0.0,-0.012103722883122075,0.24941225932705083,2.0349528520457643,0.05606576703407462,0.03517114808459719,0.0,419.86824944726743,421.05369693047766,419.9659280251082,421.5318329277045
0.9600000000000005,-0.004212147925712713,0.08769440869533168,11.142249133274369,0.04926324904941293,0.008621306672363716,0.0,-0.017157052403982697,0.2881077819054376,2.256913327532145,0.026353148213551357,0.07552386986747611,0.0,476.4913525947632,479.56752348143533,479.4653916657827,477.2039687100004
1.0200000000000005,-0.005480559530044391,0.10623299918493596,11.285308006307856,0.05019171055972471,0.012852666538576862,0.0,-0.025659525926524034,0.3299598471425407,2.511174685281219,0.004596256040728358,0.06552387885294386,0.0,489.11691442647395,488.3751544899911,488.82665943422415,487.20269454442786
1.0800000000000005,-0.0072939534166501785,0.12704244119627592,11.43847244612709,0.0506282553466777,0.016662809328011008,0.0,-0.03516782697186318,0.3637140847196831,2.594110171043509,0.009955320503655276,0.061481744576720954,0.0,437.0205799330704,436.68662902266954,438.7440088333737,439.18861055915215
1.1400000000000006,-0.009759229399643472,0.14990013091408771,11.596882116610418,0.051281611468183996,0.020634399522901248,0.0,-0.04739552781373166,0.39825878782815455,2.6859852134016315,0.01182321521203465,0.07090256905894568,0.0,440.94792944969305,441.72859245319336,440.9391057788077,441.0932634566817
